urlid,label
8207,0.676
4433,0.582
590,0.828
10549,0.337
7749,0.363
405,0.79
10267,0.684
7133,0.351
7584,0.723
6616,0.739
1719,0.426
9761,0.78
5859,0.406
5662,0.461
1736,0.356
9333,0.523
1102,0.621
2790,0.61
6598,0.682
7995,0.894
4452,0.971
159,0.297
511,0.758
7006,0.698
1123,0.712
6073,0.544
7094,0.231
10008,0.572
7573,0.053
679,0.221
6809,0.431
1108,0.109
380,0.171
204,0.267
7075,0.147
2550,0.588
9785,0.38
5036,0.966
3129,0.386
6495,0.984
880,0.306
2360,0.436
7839,0.087
350,0.197
9151,0.879
6650,0.511
7208,0.471
5840,0.289
5997,0.36
2103,0.849
713,0.399
7771,0.502
10255,0.05
3944,0.958
4250,0.16
2833,0.16
3052,0.077
7855,0.929
4152,0.237
4445,0.924
10036,0.785
9727,0.589
2234,0.048
9632,0.698
626,0.357
1644,0.108
4859,0.867
3987,0.416
5884,0.926
4112,0.687
10392,0.168
2962,0.203
21,0.487
8524,0.958
2543,0.432
663,0.559
2748,0.532
3451,0.184
964,0.769
10560,0.698
2428,0.371
4520,0.334
7660,0.9
6583,0.787
10390,0.171
688,0.025
7957,0.972
3356,0.805
1766,0.366
9128,0.64
2340,0.504
9421,0.096
7712,0.66
8200,0.127
8762,0.287
6446,0.462
5194,0.159
960,0.336
779,0.955
3584,0.56
3011,0.318
2769,0.237
1392,0.602
7254,0.874
9084,0.382
9622,0.321
3665,0.254
1609,0.391
6130,0.358
10155,0.036
7826,0.929
8300,0.265
5038,0.738
7582,0.932
9561,0.242
7430,0.767
5045,0.971
10421,0.094
5675,0.294
4687,0.101
4944,0.926
5105,0.746
148,0.028
6371,0.364
8108,0.466
4354,0.461
6077,0.919
4292,0.5
10068,0.737
5821,0.472
1042,0.993
7715,0.117
9703,0.305
2761,0.432
7002,0.24
7313,0.513
9050,0.43
5518,0.069
10556,0.989
1078,0.52
9699,0.239
10445,0.895
8748,0.744
2960,0.397
4317,0.331
939,0.107
8423,0.072
5196,0.181
8151,0.455
7199,0.752
1574,0.321
8566,0.424
7389,0.298
1177,0.304
10282,0.711
10098,0.745
4512,0.149
4055,0.803
8431,0.781
4532,0.241
10450,0.427
5754,0.86
1882,0.844
1563,0.988
4871,0.958
8440,0.176
3253,0.505
8270,0.356
4610,0.178
9619,0.203
8786,0.116
2889,0.961
9781,0.394
5061,0.401
7059,0.811
2064,0.982
1587,0.529
1934,0.778
5516,0.25
9853,0.347
7867,0.169
1556,0.474
5495,0.428
4274,0.398
8177,0.029
9491,0.829
9813,0.131
2205,0.244
2710,0.493
2992,0.496
7998,0.308
6428,0.466
6638,0.249
3035,0.655
1578,0.365
1324,0.763
2316,0.804
9326,0.17
7359,0.869
7741,0.843
5143,0.211
8196,0.527
630,0.068
8481,0.748
8497,0.065
5409,0.821
5749,0.17
8219,0.705
9571,0.72
4886,0.782
5367,0.443
1185,0.104
8291,0.714
1590,0.137
7698,0.222
51,0.453
8784,0.343
3928,0.473
5987,0.045
7008,0.822
7482,0.305
9374,0.388
1296,0.958
10289,0.778
2986,0.158
4651,0.562
8594,0.581
7469,0.772
2871,0.248
1903,0.852
8571,0.898
4832,0.825
1242,0.582
7115,0.0
3599,0.329
2065,0.402
4529,0.25
763,0.763
6698,0.886
2002,0.89
2020,0.926
5229,0.51
8243,0.439
6936,0.849
9360,0.764
4360,0.267
7951,0.486
6701,0.818
7574,0.933
2426,0.204
1681,0.897
7135,0.93
3688,0.136
3872,0.467
558,0.026
2228,0.765
8170,0.118
7171,0.867
7756,0.03
3609,0.281
3985,0.407
1139,0.658
3453,0.447
7583,1.0
9788,0.993
10175,0.524
6059,0.153
104,0.165
10168,0.539
8902,0.842
5343,0.96
4239,0.05
6767,0.476
6269,0.161
6682,0.177
9558,0.345
2416,0.244
6592,0.156
6196,0.377
2751,0.876
3412,0.972
8302,0.986
1120,0.636
8005,0.102
6637,0.447
6440,0.046
6679,0.948
8039,0.873
5357,0.944
8844,0.777
2964,0.125
6040,0.171
7259,0.861
8974,0.64
7439,0.083
1045,0.248
7706,0.309
9724,0.418
3698,0.203
7339,0.918
1749,0.324
7257,0.331
2963,0.786
7775,0.463
10501,0.153
4258,0.851
7908,0.856
722,0.797
6519,0.546
6916,0.439
4456,0.97
2731,0.417
917,0.611
4107,0.688
7894,0.782
2540,0.221
8455,0.853
10406,0.93
8909,0.335
5489,0.229
306,0.91
3894,0.329
2735,0.125
4939,0.789
1551,0.594
777,0.565
2160,0.979
8599,0.831
2727,0.124
6362,0.577
1417,0.902
10343,0.35
4866,0.934
2682,0.165
9856,0.027
4498,0.0
7450,0.284
6899,0.5
5649,0.813
6086,0.617
1618,0.063
9926,0.081
2847,0.171
8099,0.796
5724,0.44
3358,0.039
8136,0.204
955,0.423
8819,0.107
5832,0.325
10413,0.898
6548,0.065
8407,0.823
10090,0.077
8564,0.235
808,0.942
5303,0.299
8913,0.996
9425,0.769
9543,0.824
1219,0.726
9575,0.994
4019,0.595
6223,0.813
9588,0.171
4739,0.272
10492,0.774
2017,0.689
5524,0.957
7449,0.924
5734,0.026
5456,0.165
797,0.75
5525,0.541
8265,0.426
1981,0.957
8977,0.955
6241,0.93
6021,0.928
7720,0.101
8632,0.369
6705,0.265
2476,0.79
3510,0.616
8887,0.484
10115,0.49
9061,0.464
5570,0.397
2763,0.818
1437,0.661
3448,0.135
3529,0.061
3156,0.135
4604,0.888
6776,0.65
10227,0.509
1545,0.513
10487,0.424
993,0.165
1161,0.972
7975,0.987
1591,0.263
7804,0.97
5048,0.165
10454,0.943
3567,0.309
5886,0.554
9937,0.653
3931,0.595
9706,0.863
10193,0.795
5569,0.96
9747,0.067
2217,0.802
5936,0.543
3885,0.722
1086,0.171
1799,0.73
9763,0.923
3299,0.214
8268,0.74
473,0.333
337,0.77
9381,0.574
6426,0.162
1210,0.449
4986,0.979
8285,0.689
2024,0.697
245,0.997
4807,0.515
2208,0.584
9835,0.042
8963,0.538
9946,0.421
5230,0.24
2788,0.407
674,0.3
1629,0.799
2300,0.519
169,0.205
3575,0.834
6910,0.527
1479,0.412
10498,0.859
8062,0.839
9672,0.11
9467,0.543
6763,0.532
8508,0.134
1034,0.545
3756,0.128
9263,0.216
8141,0.636
532,0.894
7022,0.176
4024,0.359
3298,0.257
5641,0.187
10455,0.361
5206,0.881
7005,0.048
8971,0.238
8358,0.786
257,0.284
78,0.918
6333,0.618
7969,0.093
2505,0.486
2004,0.691
3748,0.858
5668,0.526
365,0.115
9651,0.625
2324,0.007
3902,0.215
9294,0.209
5377,0.604
2817,0.58
7670,0.355
4755,0.75
255,0.961
2714,0.509
2922,0.488
5517,0.622
5157,0.65
64,0.026
5300,0.275
451,0.304
3941,0.717
326,0.308
3757,0.531
8798,0.374
2315,0.88
6755,0.818
2916,0.724
7406,0.435
3703,0.977
5403,0.581
622,0.528
9,0.391
5848,0.698
8670,0.645
1156,0.143
10179,0.422
2028,0.788
3924,0.848
620,0.135
1963,0.746
4537,0.549
8970,0.044
3024,0.973
6140,0.907
1866,0.358
4442,0.933
2312,0.271
6749,0.69
459,0.834
1516,0.654
8817,0.446
4912,0.213
2076,0.579
10023,0.96
7684,0.247
3531,0.095
6209,0.886
10508,0.764
8678,0.313
3541,0.249
1208,0.369
4090,0.718
1097,0.204
5099,0.943
2816,0.688
4291,0.597
1409,0.676
6401,0.313
4617,0.63
6111,0.031
6172,0.854
10357,0.021
8465,0.936
3867,0.531
9495,0.715
4348,0.811
7879,0.506
9273,0.65
3252,0.091
9167,0.522
2573,0.415
7395,0.337
9046,0.224
1526,0.274
9339,0.194
10301,0.878
7588,0.914
1104,0.239
1310,0.347
6631,0.29
10475,0.415
9090,0.678
1528,0.323
1657,0.851
1175,0.217
1895,0.35
3864,0.116
4700,0.314
3572,0.439
10507,0.142
269,0.637
5744,0.69
1687,0.448
3020,0.252
4974,0.926
5119,0.811
1916,0.784
6687,0.93
2197,0.825
8641,0.516
10073,0.932
1967,0.219
4999,0.273
9816,0.302
734,0.854
9665,0.749
5092,0.855
2591,0.962
9877,0.93
4601,0.956
7734,0.034
7185,0.82
6405,0.203
7003,0.521
928,0.508
6490,0.214
1586,0.206
10139,0.927
1192,0.555
10526,0.048
5544,0.895
8779,0.247
4497,0.755
3059,0.777
2181,0.187
2303,0.229
1190,0.91
1468,0.026
8771,0.64
8997,0.839
6365,0.827
10355,0.274
3478,0.234
3764,0.538
3542,0.588
4941,0.048
1840,0.6
463,0.321
7407,0.494
7711,0.675
6044,0.278
3750,0.843
10114,0.073
1332,0.727
425,0.993
3479,0.904
1979,0.701
2994,0.781
207,0.369
5820,0.918
9187,0.427
5423,0.733
2743,0.299
2902,0.943
9126,0.974
7903,0.753
4100,0.69
3578,0.305
6061,0.479
5081,0.114
4575,0.417
6695,0.904
5960,0.109
10186,0.118
6795,0.621
10022,0.231
5841,0.503
7481,0.062
9331,0.282
400,0.837
6907,0.406
10393,0.651
3709,0.987
4726,0.958
3007,0.389
4723,0.243
597,0.039
1810,0.978
4131,0.292
4697,0.899
8838,0.959
5956,0.146
4196,0.673
63,0.839
1714,0.266
904,0.322
9715,0.722
4,0.391
5462,0.609
259,0.368
5418,0.248
6849,0.138
9893,0.29
10003,0.868
4976,0.115
7611,0.898
900,0.194
3746,0.975
3893,0.043
2966,0.042
9667,0.985
9734,0.115
8123,0.221
8470,0.686
4058,0.657
4623,0.875
3782,0.125
7966,0.912
6003,0.7
2168,0.931
422,0.401
6381,0.634
1136,0.974
3443,0.821
2214,0.494
9973,0.95
1593,0.624
5474,0.87
812,0.973
4703,0.098
4294,0.985
10021,0.313
395,0.161
3237,0.882
9099,0.527
2401,0.077
10371,0.486
3420,0.824
3460,0.848
9088,0.886
5995,0.819
3084,0.199
3595,0.354
9524,0.843
167,0.556
9743,0.779
6109,0.703
433,0.038
6292,0.356
8125,0.211
4035,0.556
2929,0.795
8810,0.797
4403,0.333
3925,0.803
1290,0.725
3689,0.892
6709,0.207
8021,0.58
6237,0.648
1453,0.137
7340,0.401
6078,0.506
2369,0.363
1781,0.256
3830,0.828
7625,0.22
8150,0.097
1680,0.574
7077,0.161
3360,0.659
7927,0.966
244,0.303
8107,0.834
820,0.824
5915,0.928
924,0.441
9207,0.688
4077,0.697
6052,0.832
508,0.817
8105,0.28
4405,0.065
7558,0.143
6094,0.956
484,0.991
8927,0.341
310,0.195
8075,0.891
1094,0.444
3211,0.494
1700,0.719
4816,0.576
9354,0.854
8845,0.392
7530,0.94
1520,0.287
1087,0.755
5786,0.655
6847,0.755
999,0.468
5308,0.728
6569,0.834
10200,0.159
5868,0.81
1757,0.26
4625,0.802
2955,0.758
6187,0.945
9931,0.739
4883,0.686
2488,0.808
156,0.812
2820,0.454
1311,0.798
1517,0.186
3640,0.52
5763,0.179
6689,0.621
1193,0.471
8217,0.89
10327,0.893
5042,0.274
6903,0.349
2068,0.774
7614,0.641
8842,0.049
2445,0.446
10276,0.266
4931,0.389
6842,0.751
5927,0.345
6207,0.228
4539,0.238
8721,0.061
3618,0.04
2580,0.034
5321,0.891
3181,0.238
4742,0.317
3340,0.836
8310,0.98
3948,0.211
2126,0.591
10436,0.325
9635,0.79
9022,0.301
8576,0.274
2522,0.303
7341,0.829
7377,0.78
7636,0.455
2536,0.661
2706,0.77
4814,0.181
6032,0.219
2630,0.703
1857,0.357
5412,0.795
1957,0.54
9805,0.341
9256,0.288
1055,0.824
8439,0.677
317,0.346
6126,0.448
9970,0.791
6008,0.496
2811,0.146
10214,0.209
10337,0.056
6563,0.621
5611,0.882
6358,0.479
8446,0.206
974,0.402
4839,0.256
4806,0.851
4597,0.5
4649,0.636
7744,0.975
5826,0.553
6118,0.462
6785,0.352
301,0.968
3192,0.834
9854,0.647
9227,0.977
4768,0.41
2961,0.029
4564,0.185
2484,0.124
1606,0.439
2864,0.112
2884,0.047
2753,0.403
4366,0.618
2470,0.37
6369,0.33
2754,0.224
2501,0.295
8890,0.092
2093,0.582
4937,0.402
2850,0.449
3706,0.181
6645,0.951
5799,0.619
4229,0.744
4900,0.503
7883,0.127
4629,0.736
6459,0.983
10381,0.987
220,0.739
761,0.16
4264,0.756
6633,0.591
1424,0.807
7017,0.41
6901,0.273
7126,0.076
881,0.833
6382,0.519
7502,0.608
1911,0.982
3076,0.398
9281,0.594
1534,0.255
8378,0.078
4717,0.849
7012,0.991
9028,0.621
5407,0.517
274,0.674
9465,0.876
5164,0.211
937,0.435
5264,0.735
8051,0.125
10304,0.269
2403,0.222
1697,0.996
8142,0.35
3734,0.143
8487,0.292
5123,0.949
8726,0.145
2336,0.923
7376,0.363
2793,0.624
1998,0.424
319,0.934
6783,0.245
6911,0.791
3078,0.865
3310,0.961
4790,0.958
2712,0.782
2968,0.965
7777,0.658
10442,0.572
1654,0.764
10438,0.376
4509,0.429
3963,0.173
5043,0.156
5421,0.979
6465,0.068
8034,0.515
806,0.269
1090,0.071
1566,0.895
10187,0.562
2634,0.845
569,0.83
135,0.066
3732,0.72
6247,0.894
10466,0.437
8429,0.555
6725,0.043
6128,0.223
8496,0.255
2433,0.751
5552,0.83
7122,0.566
376,0.159
796,0.053
6121,0.43
8960,0.295
5686,0.106
2213,0.689
6602,0.761
3357,0.758
1997,0.325
691,0.064
4370,0.842
9660,0.928
7189,0.126
6660,0.335
2074,0.678
5375,0.975
1816,0.699
9802,0.958
7654,0.939
3784,0.574
9604,0.852
6397,0.856
7125,0.907
1460,0.762
5718,0.502
5452,0.672
7064,0.902
8272,0.892
3620,0.8
2772,0.326
5150,0.078
125,0.286
1005,0.043
616,0.705
9056,0.284
3972,0.13
746,0.268
10286,0.849
723,0.644
1283,0.659
8009,0.897
8509,0.292
8220,0.479
7393,0.992
8499,0.601
3789,0.016
9658,0.554
8171,0.233
1985,0.573
733,0.125
6706,0.08
6282,0.422
7243,0.177
3995,0.79
4375,0.551
1647,0.695
9306,0.803
9272,0.048
9464,0.413
5340,0.13
5475,0.972
4911,0.977
9315,0.498
811,0.374
6395,0.629
3229,0.601
2250,0.475
8433,0.573
10428,0.292
10461,0.139
8408,0.975
3945,0.911
863,0.888
4683,0.058
1162,0.975
9132,0.885
1076,0.211
7236,0.468
3218,0.695
6866,0.269
4997,0.583
9121,0.724
8696,0.035
3313,0.46
1421,0.2
80,0.444
8163,0.086
4583,0.86
4053,0.238
8693,0.318
4139,0.589
6976,0.584
3549,0.615
5534,0.36
1638,0.691
6375,0.837
1008,0.619
9120,0.986
8071,0.631
3266,0.926
10482,0.649
5288,0.273
6302,0.481
2183,0.573
9199,0.144
5441,0.097
4418,0.405
7287,0.685
1532,0.922
2978,0.287
1230,0.359
6423,0.768
9643,0.399
5142,0.322
9368,0.829
6132,0.981
9031,0.836
4767,0.754
844,0.136
10296,0.311
9045,0.706
10469,0.202
9223,0.203
9340,0.324
1226,0.437
686,0.656
4037,0.688
7620,0.191
9322,0.968
2943,0.101
6549,0.819
8124,0.375
1803,0.727
8025,0.085
368,0.168
3660,0.183
4943,0.487
9143,0.151
958,0.823
4272,0.352
200,0.416
7314,0.84
7827,0.246
252,0.58
2242,0.729
2804,0.4
8802,0.3
7645,0.889
7228,0.815
9200,0.24
4738,0.92
4513,0.927
7999,0.313
3938,0.326
8127,0.959
9265,0.038
7353,0.986
4772,0.856
4461,0.189
1335,0.753
9018,0.849
10460,0.916
7956,0.51
1238,0.068
2552,0.799
6517,0.785
5925,0.666
7413,0.449
3728,0.079
1103,0.95
3704,0.95
8413,0.558
4533,0.831
5449,0.851
7306,0.13
1401,0.758
7365,0.926
8363,0.183
3656,0.778
5683,0.927
1940,0.423
8674,0.24
6745,0.334
4431,0.973
2263,0.961
7506,0.988
4059,0.268
4588,0.079
8692,0.819
7258,0.798
5448,0.949
8865,0.416
1119,0.513
7642,0.784
9981,0.888
181,0.801
7528,0.546
9086,0.728
4963,0.267
5292,0.251
1254,0.285
2125,0.802
5601,0.872
2758,0.903
1922,0.36
5440,0.413
3001,0.76
4011,0.39
8604,0.814
2779,0.291
1568,0.023
10123,0.453
9053,0.874
8028,0.896
82,0.583
2845,0.986
10221,0.905
8598,0.711
5011,0.886
7401,0.291
8687,0.573
8767,0.805
10046,0.228
1920,0.332
4364,0.936
9395,0.042
3602,0.571
9038,0.288
7786,0.32
5106,0.801
9337,0.168
1575,0.261
10291,0.715
2965,0.841
1478,0.061
3625,0.123
7329,0.871
4116,0.555
9136,0.312
6870,0.965
4073,0.928
7863,0.231
7437,0.201
278,0.863
1977,0.5
8570,0.714
6800,0.206
8964,0.027
7534,0.841
6539,0.921
645,0.762
8223,0.298
610,0.577
1512,0.934
8340,0.978
4524,0.259
7465,0.351
6313,0.035
1873,0.196
1015,0.991
444,0.178
4967,0.99
8988,0.574
3199,0.839
8020,0.769
6103,0.324
362,0.296
7325,0.697
5730,0.285
10448,0.857
1452,0.453
6669,0.61
7892,0.272
7859,0.902
5866,0.721
2970,0.465
9609,0.197
893,0.561
4176,0.239
4280,0.074
3970,0.423
4516,0.113
7503,0.78
7955,0.892
9852,0.701
8380,0.859
9284,0.827
10386,0.209
4004,0.607
5328,0.139
9274,0.78
4646,0.646
396,0.946
5513,0.28
4117,0.524
3751,0.375
9767,0.643
1071,0.706
7812,0.914
5059,0.057
2667,0.307
9304,0.212
10385,0.358
7930,0.626
5225,0.414
9839,0.529
2831,0.628
2387,0.411
3433,0.809
5101,0.428
6357,0.997
5476,0.638
3807,0.703
10232,0.382
1508,0.718
6993,0.946
5505,0.297
6009,0.331
5301,0.948
6766,0.632
2248,0.507
8572,0.155
852,0.5
7871,0.969
6926,0.809
10220,0.915
9007,0.827
6990,0.898
2012,0.646
5645,0.497
9091,0.773
3797,0.428
7201,0.193
672,0.814
1257,0.977
2010,0.07
8222,0.861
9636,0.539
2746,0.718
2919,0.775
5231,0.025
5625,0.252
10254,0.518
2651,0.461
1740,0.855
3212,0.625
10502,0.144
7139,0.141
7210,0.58
10049,0.68
1621,0.615
2301,0.18
5798,0.892
3812,0.939
6190,0.697
5503,0.265
9972,0.367
5646,0.034
2003,0.744
1069,0.228
9656,0.456
279,0.841
4328,0.474
7105,0.267
1643,0.152
3108,0.563
3106,0.322
1626,0.112
9838,0.152
6994,0.617
3463,0.296
781,0.525
4337,0.227
1639,0.18
416,0.06
7687,0.976
9610,0.086
2519,0.696
10210,0.066
8633,0.831
1276,0.989
4764,0.785
7674,0.833
6550,0.81
3853,0.536
341,0.043
6258,0.683
1884,0.717
2855,0.167
2196,0.308
5326,0.828
6380,0.414
5580,0.254
4563,0.464
10414,0.968
3226,0.745
3175,0.963
9457,0.217
1705,0.034
5910,0.055
375,0.598
10333,0.411
3852,0.509
1971,0.26
8720,0.84
1860,0.688
10349,0.567
4605,0.154
7358,0.675
8258,0.539
5678,0.044
694,0.727
8482,0.131
1924,0.253
3716,0.883
3282,0.348
5746,0.112
1518,0.299
8741,0.253
7630,0.454
8276,0.374
6939,0.391
1435,0.772
8157,0.307
1041,0.0
4478,0.625
8307,0.197
2094,0.977
5916,0.498
9848,0.993
4803,0.481
2147,0.3
295,0.918
861,0.312
3822,0.415
5609,0.938
9450,0.412
4122,0.092
10558,0.132
4285,0.224
6184,0.761
7295,0.218
1926,0.817
5026,0.196
7952,0.813
4194,0.235
639,0.593
2130,0.242
3119,0.472
3251,0.207
5803,0.294
9553,0.413
5937,0.715
2133,0.074
693,0.372
5944,0.636
2227,0.616
9915,0.153
4044,0.535
6033,0.258
3270,0.91
7050,0.304
6185,0.661
7984,0.357
2109,0.962
2244,0.427
2481,0.191
4332,0.918
6016,0.458
10162,0.333
2453,0.393
6228,0.126
6166,0.3
1411,0.532
254,0.75
7479,0.604
1476,0.228
7801,0.769
4988,0.573
4694,0.385
10194,0.593
2574,0.738
8334,0.28
419,0.153
8643,0.919
2548,0.436
4615,0.812
8772,0.679
10463,0.881
6756,0.5
1503,0.899
4095,0.318
1723,0.915
8829,0.414
10085,0.264
4796,0.273
9756,0.043
2158,0.055
7273,0.43
3056,0.229
656,0.382
3074,0.275
4661,0.789
3958,0.346
4311,0.119
8375,0.969
7442,0.473
3839,0.519
6179,0.079
3786,0.568
8520,0.564
3664,0.197
2014,0.868
8298,0.137
4220,0.334
10127,0.941
6182,0.573
3206,0.66
8503,0.902
5682,0.897
5699,0.308
6215,0.851
1394,0.064
9582,0.793
10070,0.973
4940,0.661
4193,0.135
3400,0.271
4785,0.133
7460,0.797
5838,0.407
2503,0.127
2730,0.909
7156,0.243
5511,0.879
438,0.837
2233,0.977
2016,0.094
139,0.481
384,0.321
2313,0.425
5145,0.99
7864,0.499
1195,0.992
5365,0.23
6977,0.078
10001,0.178
567,0.574
9950,0.97
157,0.068
6553,0.773
7337,0.198
349,0.388
4874,0.533
10313,0.726
8421,0.606
9469,0.189
9314,0.945
3663,0.022
7216,0.182
8871,0.02
5743,0.936
2072,0.764
2654,0.094
5908,0.343
9863,0.103
457,0.431
6965,0.091
3030,0.07
7765,0.16
748,0.295
6304,0.182
9606,0.23
10351,0.114
406,0.863
8120,0.026
8486,0.981
6998,0.917
77,0.816
841,0.075
7709,0.184
7404,0.788
5606,0.468
965,0.896
3163,0.322
10192,0.778
6163,0.058
9865,0.591
9518,0.126
1267,0.388
2051,0.922
2046,0.45
1464,0.867
2153,0.094
6612,0.718
4971,0.664
866,0.08
4124,0.721
5086,0.822
4351,0.551
8101,0.337
7912,0.276
2504,0.77
2837,0.553
2034,0.617
4844,0.836
7780,0.155
5901,0.334
3296,0.335
7299,0.596
8574,0.585
7472,0.992
2276,0.228
5980,0.36
3184,0.199
4359,0.131
1064,0.822
9039,0.19
6376,0.084
1706,0.56
7970,0.108
3540,0.95
1407,0.542
4561,0.344
6691,0.905
7172,0.087
1923,0.2
4407,0.79
6777,0.292
2600,0.14
1936,0.018
9778,0.232
2766,0.628
6668,0.553
9013,0.408
4319,0.116
3263,0.961
1612,0.878
5132,0.548
216,0.966
7232,0.169
9373,0.334
5030,0.516
10107,0.794
8309,0.971
8449,0.626
6961,0.436
4954,0.472
7344,0.857
8146,0.929
1132,0.634
6145,0.798
1353,0.48
3624,0.844
5058,0.536
9789,0.829
7290,0.405
8583,0.455
1088,0.901
9210,0.612
8240,0.036
3326,0.242
6315,0.64
8410,0.776
4535,0.132
5991,0.648
1874,0.514
1898,0.112
3557,0.86
8587,0.916
4190,0.104
7261,0.627
6854,0.316
9375,0.9
6317,0.986
7713,0.984
7058,0.913
7628,0.097
3513,0.493
7953,0.905
3445,0.208
8461,0.636
2834,0.382
3414,0.664
9262,0.821
9235,0.223
3146,0.174
3379,0.51
1701,0.378
5527,0.437
8031,0.808
4032,0.799
9782,0.446
7656,0.625
2985,0.908
9334,0.49
3343,0.138
4760,0.552
10311,0.817
2609,0.345
5117,0.178
6724,0.938
